eom,buffett_exc,mkt_exc,smb,hml,rf
1976-11-30,0.149971763,0.0036,0.0232,0.0151,0.004
1976-12-31,0.1429178175,0.0565,0.0303,0.0227,0.004
1977-02-28,-0.003499,-0.0194,0.0104,0.0047,0.0035
1977-03-31,0.0740087806,-0.0137,0.01,0.0109,0.0038
1977-04-30,-0.014423278,0.0015,-0.0012,0.0338,0.0038
1977-05-31,0.058645,-0.0145,0.0118,0.0085,0.0037
1977-06-30,-0.003716,0.0471,0.0209,-0.0074,0.004
1977-07-31,-0.003873,-0.0169,0.0216,-0.0056,0.0042
1977-08-31,0.0146148438,-0.0175,0.0148,-0.027,0.0044
1977-09-30,0.0389392319,-0.0027,0.0134,-0.0052,0.0043
1977-10-31,0.0365316553,-0.0438,0.0125,0.0175,0.0049
1977-11-30,0.0835365749,0.04,0.0373,0.0026,0.005
1977-12-31,0.1457065096,0.0027,0.0132,-0.0029,0.0049
1978-01-31,-0.037176122,-0.0601,0.0224,0.0336,0.0049
1978-02-28,-0.001291365,-0.0138,0.0359,0.0083,0.0046
1978-04-30,0.0997425417,0.0788,0.0045,-0.0354,0.0054
1978-05-31,0.1459987934,0.0176,0.0456,-0.0052,0.0051
1978-06-30,-0.033940429,-0.0169,0.0166,0.0057,0.0054
1978-07-31,-0.005591,0.0511,0.0023,-0.0115,0.0056
1978-08-31,0.0385676482,0.0375,0.0506,-0.0051,0.0056
1978-09-30,-0.005964,-0.0143,-0.0043,0.0189,0.0062
1978-10-31,0.0544738321,-0.1191,-0.0986,0.0138,0.0068
1978-11-30,-0.099879198,0.0271,0.0297,-0.0215,0.007
1978-12-31,-0.089243346,0.0088,0.0129,-0.0213,0.0078
1979-01-31,0.0112262805,0.0423,0.0362,0.0219,0.0077
1979-02-28,0.0114260007,-0.0356,0.0045,0.0117,0.0073
1979-03-31,0.1383112678,0.0568,0.0326,-0.0071,0.0081
1979-04-30,0.0289441549,-6e-04,0.0215,0.0112,0.008
1979-06-30,0.1905956052,0.0385,0.0117,0.0144,0.0081
1979-07-31,0.3464286991,0.0082,0.0128,0.0186,0.0077
1979-08-31,0.1194781343,0.0553,0.0205,-0.0158,0.0077
1979-09-30,-0.035901014,-0.0082,-0.0027,-0.009,0.0083
1979-10-31,-0.183534047,-0.081,-0.0337,-0.0184,0.0087
1979-11-30,0.1129290185,0.0521,0.0287,-0.0329,0.0099
1979-12-31,0.021041,0.0179,0.0417,-0.021,0.0095
1980-01-31,0.0374865468,0.0551,0.0162,0.0175,0.008
1980-02-29,-0.010654,-0.0122,-0.0185,0.0061,0.0089
1980-03-31,-0.229400297,-0.129,-0.0664,-0.0101,0.0121
1980-04-30,0.0612090746,0.0397,0.0105,0.0106,0.0126
1980-05-31,0.130048034,0.0526,0.0213,0.0038,0.0081
1980-06-30,-0.066918062,0.0306,0.0166,-0.0076,0.0061
1980-07-31,0.1237512542,0.0649,0.0414,-0.0641,0.0053
1980-08-31,0.0940270015,0.018,0.0392,-0.026,0.0064
1980-09-30,0.010782519,0.0219,0.0098,-0.0459,0.0075
1980-10-31,0.0675211222,0.0106,0.0247,-0.0276,0.0095
1980-11-30,0.0384422787,0.0959,-0.0336,-0.0833,0.0096
1980-12-31,-0.03674787,-0.0452,-0.0026,0.0279,0.0131
1981-01-31,0.0073840401,-0.0504,0.0292,0.0672,0.0104
1981-02-28,0.1086331798,0.0057,-0.0034,0.0102,0.0107
1981-03-31,-0.018233142,0.0356,0.0354,0.0064,0.0121
1981-04-30,0.0606725746,-0.0211,0.044,0.0228,0.0108
1981-05-31,-0.00112219,0.0011,0.02,-0.0042,0.0115
1981-06-30,-0.038742906,-0.0236,-0.0083,0.0513,0.0135
1981-07-31,-0.060224177,-0.0154,-0.0219,-0.005,0.0124
1981-08-31,-0.012804,-0.0704,-0.0195,0.0476,0.0128
1981-09-30,-0.05847928,-0.0717,-0.0265,0.0517,0.0124
1981-10-31,0.0840596843,0.0492,0.0223,-0.0421,0.0121
1981-11-30,0.1346010749,0.0336,-0.0103,0.0183,0.0107
1981-12-31,-0.051110882,-0.0365,0.012,0.0081,0.0087
1982-01-31,-0.091376794,-0.0324,-0.0128,0.0319,0.008
1982-02-28,0.0004858356,-0.0586,0.0044,0.0605,0.0092
1982-03-31,-0.078062644,-0.0187,-0.0021,0.0381,0.0098
1982-04-30,0.0502484616,0.0327,0.0147,-0.027,0.0113
1982-05-31,-0.019253836,-0.0399,0.0052,0.0175,0.0106
1982-06-30,-0.025344146,-0.0309,-0.004,0.0153,0.0096
1982-07-31,-0.054764457,-0.0319,0.0083,9e-04,0.0105
1982-08-31,0.0123833881,0.1114,-0.0414,0.0095,0.0076
1982-09-30,0.126861689,0.0129,0.0295,0.0028,0.0051
1982-10-31,0.1111169304,0.113,0.0234,-0.0366,0.0059
1982-11-30,0.1132809307,0.0467,0.0467,-0.0187,0.0063
1982-12-31,0.1155747973,0.0055,-0.0022,-2e-04,0.0067
1983-01-31,-0.019643552,0.036,0.0273,-0.0075,0.0069
1983-02-28,0.0811926435,0.0259,0.0327,0.007,0.0062
1983-03-31,0.1543882836,0.0282,0.0173,0.0202,0.0063
1983-04-30,0.0007743077,0.0667,0.005,0.0049,0.0071
1983-05-31,0.0051386459,0.0052,0.0624,-0.014,0.0069
1983-06-30,-0.082037883,0.0307,0.0095,-0.039,0.0067
1983-07-31,0.033843871,-0.0407,0.015,0.0562,0.0074
1983-08-31,0.0673760154,-0.005,-0.0428,0.0554,0.0076
1983-09-30,0.2011308651,0.0091,0.0061,0.0101,0.0076
1983-10-31,0.0447758371,-0.0344,-0.0357,0.0497,0.0076
1983-11-30,0.0347857332,0.0216,0.0201,-0.0072,0.007
1983-12-31,-0.036343029,-0.0178,-0.0027,0.0173,0.0073
1984-01-31,0.0013509624,-0.0192,-0.0038,0.0758,0.0076
1984-02-29,-0.040972859,-0.0482,-0.0169,0.0333,0.0071
1984-03-31,-0.038227777,0.0063,7e-04,0.0046,0.0073
1984-04-30,-0.000145968,-0.0051,-0.0116,0.012,0.0081
1984-05-31,0.0218049708,-0.0597,6e-04,0.0031,0.0078
1984-06-30,-0.02676477,0.0182,-0.003,-0.0266,0.0075
1984-07-31,-0.02640206,-0.0274,-0.0221,0.0036,0.0082
1984-08-31,0.0319571587,0.1028,-0.0024,-0.0182,0.0083
1984-09-30,0.0032233149,-0.008,0.0017,0.0528,0.0086
1984-10-31,-0.013561066,-0.0084,-0.0123,0.0045,0.01
1984-11-30,-0.022572095,-0.0176,-0.0065,0.0406,0.0073
1984-12-31,-0.010791472,0.0184,-0.0056,-0.0026,0.0064
1985-01-31,0.0886716279,0.0799,0.0331,-0.0535,0.0065
1985-02-28,0.0613428835,0.0122,0.0079,-0.001,0.0058
1985-03-31,0.211447975,-0.0084,-0.0108,0.0407,0.0062
1985-04-30,0.0019847956,-0.0096,0.0014,0.0372,0.0072
1985-05-31,-0.000656594,0.0509,-0.0222,-0.0096,0.0066
1985-06-30,0.1503679788,0.0127,0.0052,0.0038,0.0055
1985-07-31,-0.024800651,-0.0074,0.0284,-0.0162,0.0062
1985-08-31,-0.038967357,-0.0102,-0.003,0.0232,0.0055
1985-09-30,0.0086568824,-0.0454,-0.0159,0.0129,0.006
1985-10-31,0.2596794893,0.0402,-0.0151,0.0075,0.0065
1985-11-30,-0.004247603,0.0648,0.0025,-0.0285,0.0061
1985-12-31,-0.065186621,0.0388,-0.0051,-0.0154,0.0065
1986-01-31,-0.091909537,0.0065,0.0121,0.0044,0.0056
1986-02-28,0.21865078,0.0713,-0.0054,-0.0072,0.0053
1986-03-31,0.1244717813,0.0488,-0.0059,-0.0039,0.006
1986-04-30,-0.072648696,-0.0131,0.0278,-0.0287,0.0052
1986-05-31,-0.02211613,0.0462,-0.0135,-0.0021,0.0049
1986-06-30,0.0349637888,0.0103,-0.0096,0.0128,0.0052
1986-07-31,-0.055431169,-0.0645,-0.0336,0.047,0.0052
1986-08-31,0.0219346725,0.0607,-0.0417,0.0351,0.0046
1986-09-30,-0.099610585,-0.086,0.0236,0.0322,0.0045
1986-10-31,0.091029097,0.0466,-0.025,-0.0142,0.0046
1986-11-30,-0.050880521,0.0117,-0.0191,-7e-04,0.0039
1986-12-31,0.0244300801,-0.0327,0.0013,0.0036,0.0049
1987-01-31,0.0951397807,0.1247,-0.0181,-0.0316,0.0042
1987-02-28,0.0795619697,0.0439,0.0349,-0.0591,0.0043
1987-03-31,0.0426070485,0.0164,0.0045,0.0161,0.0047
1987-04-30,-0.044057727,-0.0211,-0.0169,-0.0039,0.0044
1987-05-31,0.0051157398,0.0011,-0.005,0.0023,0.0038
1987-06-30,0.0213619628,0.0394,-0.0212,0.0104,0.0048
1987-07-31,0.1273705696,0.0385,-0.0069,0.0068,0.0046
1987-08-31,0.0028317578,0.0352,-0.0077,-0.0093,0.0047
1987-09-30,0.0528241102,-0.0259,0.0054,0.0027,0.0045
1987-10-31,-0.218125307,-0.2324,-0.0843,0.0424,0.006
1987-11-30,-0.131185553,-0.0777,0.0272,0.0295,0.0035
1987-12-31,0.0142533792,0.0681,0.0013,-0.0443,0.0039
1988-01-31,0.0243566437,0.0421,-0.0072,0.0501,0.0029
1988-02-29,0.0350399598,0.0475,0.0334,-0.0171,0.0046
1988-03-31,0.0828995895,-0.0227,0.0615,0.0073,0.0044
1988-04-30,0.0976127793,0.0056,0.01,0.0167,0.0046
1988-05-31,0.0346841012,-0.0029,-0.026,0.0242,0.0051
1988-06-30,0.0524928416,0.0479,0.0211,-0.0124,0.0049
1988-07-31,0.0431327693,-0.0125,-0.0025,0.0222,0.0051
1988-08-31,-0.011704126,-0.0331,4e-04,0.0215,0.0059
1988-09-30,0.1036815871,0.033,-0.0131,-0.0075,0.0062
1988-10-31,-0.021699,0.0115,-0.0293,0.0205,0.0061
1988-11-30,-0.011033005,-0.0229,-0.0172,0.0141,0.0057
1988-12-31,-0.006306,0.0149,0.0195,-0.0169,0.0063
1989-01-31,0.0421063422,0.061,-0.0223,0.006,0.0055
1989-02-28,-0.046719136,-0.0225,0.0282,0.0101,0.0061
1989-03-31,0.0414060485,0.0157,0.0067,0.0058,0.0067
1989-04-30,0.2608667707,0.0433,-0.0068,-0.0142,0.0067
1989-05-31,0.0158983832,0.0335,-5e-04,-0.0088,0.0079
1989-06-30,0.016199303,-0.0135,-0.0102,0.0225,0.0071
1989-07-31,0.1336444109,0.072,-0.0414,-0.0279,0.007
1989-08-31,0.0566493325,0.0144,0.0056,0.006,0.0074
1989-09-30,0.0751177026,-0.0076,0.0032,-0.0127,0.0065
1989-10-31,-0.020153334,-0.0367,-0.0323,-0.0111,0.0068
1989-11-30,-0.036892292,0.0103,-0.0124,-0.0109,0.0069
1989-12-31,0.0455741508,0.0116,-0.0236,0.0016,0.0061
1990-01-31,-0.146486,-0.0785,-0.0124,0.0085,0.0057
1990-02-28,-0.036669778,0.0111,0.0099,0.0064,0.0057
1990-03-31,-0.075584152,0.0183,0.015,-0.0292,0.0064
1990-04-30,-0.010546472,-0.0336,-0.0046,-0.0259,0.0069
1990-05-31,0.0607601827,0.0842,-0.0253,-0.0383,0.0068
1990-06-30,0.0010950069,-0.0109,0.014,-0.0193,0.0063
1990-07-31,-0.034481778,-0.019,-0.0312,-3e-04,0.0068
1990-08-31,-0.091868288,-0.1015,-0.0357,0.0164,0.0066
1990-09-30,-0.08801525,-0.0612,-0.0365,0.0064,0.006
1990-10-31,0.006206957,-0.0192,-0.0557,0.001,0.0068
1990-11-30,0.0607355581,0.0635,0.0043,-0.031,0.0057
1990-12-31,0.0460204559,0.0246,0.0081,-0.017,0.006
1991-01-31,0.1039772287,0.0469,0.0381,-0.016,0.0052
1991-02-28,0.086449214,0.0719,0.0395,-0.0058,0.0048
1991-03-31,-0.01058295,0.0265,0.0393,-0.0139,0.0044
1991-04-30,0.0071260588,-0.0028,0.0048,0.015,0.0053
1991-05-31,0.0724620798,0.0365,-0.004,-0.0052,0.0047
1991-06-30,-0.044170999,-0.0494,0.0013,0.0115,0.0042
1991-07-31,0.0100409524,0.0424,-0.0092,-0.0132,0.0049
1991-08-31,0.0247155132,0.0232,0.0158,-0.0078,0.0046
1991-09-30,0.0068380113,-0.0159,0.0164,-0.0108,0.0046
