eom,us_stock_market,treasury10yr,tbil
1925-12-31,,,
1926-01-31,0.000561,,0.002951
1926-02-28,-0.033046,,0.002768
1926-03-31,-0.064002,,0.002778
1926-04-30,0.037029,,0.003072
1926-05-31,0.012095,,0.000342
1926-06-30,0.053664,,0.003459
1926-07-31,0.031411,,0.002243
1926-08-31,0.028647,,0.002536
1926-09-30,0.005787,,0.002273
1926-10-31,-0.028996,,0.003195
1926-11-30,0.028554,,0.003093
1926-12-31,0.029211,,0.002778
1927-01-31,0.002416,,0.002463
1927-02-28,0.04537,,0.00257
1927-03-31,0.003756,,0.002959
1927-04-30,0.007225,,0.002546
1927-05-31,0.057773,,0.003008
1927-06-30,-0.021087,,0.002583
1927-07-31,0.075279,,0.002991
1927-08-31,0.02249,,0.002757
1927-09-30,0.049924,,0.002096
1927-10-31,-0.04077,,0.00252
1927-11-30,0.068453,,0.002086
1927-12-31,0.023782,,0.00223
1928-01-31,-0.00334,,0.002225
1928-02-29,-0.014478,,0.003294
1928-03-31,0.090478,,0.002936
1928-04-30,0.043846,,0.002224
1928-05-31,0.01769,,0.00292
1928-06-30,-0.045245,,0.003122
1928-07-31,0.0094,,0.003226
1928-08-31,0.070206,,0.003216
1928-09-30,0.031498,,0.002723
1928-10-31,0.019228,,0.004378
1928-11-30,0.1215,,0.003874
1928-12-31,0.005557,,0.003451
1929-01-31,0.053935,,0.003332
1929-02-28,-0.000446,,0.003508
1929-03-31,-0.007808,,0.003431
1929-04-30,0.017179,,0.003567
1929-05-31,-0.059923,,0.004388
1929-06-30,0.101573,,0.005193
1929-07-31,0.045958,,0.003345
1929-08-31,0.085343,,0.00403
1929-09-30,-0.050455,,0.003573
1929-10-31,-0.196684,,0.004796
1929-11-30,-0.123812,,0.003547
1929-12-31,0.01639,,0.003661
1930-01-31,0.058407,,0.001393
1930-02-28,0.028242,,0.002964
1930-03-31,0.074631,,0.003475
1930-04-30,-0.020541,,0.002104
1930-05-31,-0.01401,,0.002581
1930-06-30,-0.15998,,0.002693
1930-07-31,0.041964,,0.001984
1930-08-31,0.003663,,0.00058
1930-09-30,-0.124805,,0.002192
1930-10-31,-0.086579,,0.000866
1930-11-30,-0.028057,,0.000999
1930-12-31,-0.077739,,0.001398
1931-01-31,0.06378,,0.000555
1931-02-28,0.109695,,0.000407
1931-03-31,-0.062866,,0.001887
1931-04-30,-0.100219,,0.000827
1931-05-31,-0.133836,,0.000875
1931-06-30,0.14034,,0.000504
1931-07-31,-0.066438,,0.000591
1931-08-31,0.003078,,0.000388
1931-09-30,-0.291731,,0.000417
1931-10-31,0.081509,,0.000812
1931-11-30,-0.088402,,0.001669
1931-12-31,-0.134971,,0.001252
1932-01-31,-0.010534,,0.002367
1932-02-29,0.057663,,0.001447
1932-03-31,-0.110599,,0.001147
1932-04-30,-0.179417,,0.001145
1932-05-31,-0.206198,,0.000445
1932-06-30,-0.004289,,0.00022
1932-07-31,0.340643,,0.00025
1932-08-31,0.371388,,0.000267
1932-09-30,-0.028649,,0.000309
1932-10-31,-0.132553,,0.000178
1932-11-30,-0.05826,,0.000146
1932-12-31,0.045227,,0.000108
1933-01-31,0.009813,,0.000108
1933-02-28,-0.153204,,-0.000265
